name	is_useful	use_for_publication_words	auto_link
Electrochemistry	0	1	1
Electrocoagulation	1	1	1
Electroconvulsive Therapy	1	1	1
Electrodes	1	1	1
Electrodes, Implanted	1	1	1
Electrodiagnosis	1	1	1
Electroencephalography	1	1	1
Electrogalvanism, Intraoral	1	1	1
Electrokymography	1	1	1
Electrolysis	1	1	1
Electrolytes	0	1	1
Electromagnetic Fields	0	1	1
Electromyography	1	1	1
Electron Probe Microanalysis	1	1	1
Electron Spin Resonance Spectroscopy	1	1	1
Electron Transport	0	1	1
Electronarcosis	1	1	1
Electronics	0	1	1
Electronics, Medical	0	1	1
Electrons	0	0	0
Electronystagmography	1	1	1
Electrooculography	1	1	1
Electrophoresis	1	1	1
Electrophoresis, Agar Gel	1	1	1
Electrophoresis, Cellulose Acetate	1	1	1
Electrophoresis, Disc	1	1	1
Electrophoresis, Paper	1	1	1
Electrophoresis, Polyacrylamide Gel	1	1	1
Electrophoresis, Starch Gel	1	1	1
Electrophorus	0	1	1
Electrophysiology	0	1	1
Electroplating	1	1	1
Electroretinography	1	1	1
Electroshock	1	1	1
Electrosurgery	1	1	1
Electric Stimulation Therapy	1	1	1
Eledoisin	1	1	1
Elementary Particles	0	1	1
Elements	0	0	0
Elements, Radioactive	0	1	1
Elephantiasis	1	1	1
Elephantiasis, Filarial	1	1	1
Elephants	0	1	1
Elevators and Escalators	0	0	0
Eligibility Determination	0	1	1
Eliminative Behavior, Animal	1	1	1
Ellagic Acid	0	1	1
Ellipticines	0	1	1
Elliptocytosis, Hereditary	1	1	1
Ellis-Van Creveld Syndrome	1	1	1
Emaciation	1	1	1
Embalming	0	0	0
Emblems and Insignia	0	0	0
Embolism	1	1	1
Embolism, Air	1	1	1
Embolism, Amniotic Fluid	1	1	1
Embolism, Fat	1	1	1
Embolization, Therapeutic	1	1	1
Embryo, Mammalian	1	1	1
Embryo Transfer	1	1	1
Embryo, Nonmammalian	1	1	1
Embryology	0	1	1
Embryonic Induction	1	1	1
Embryonic Structures	1	1	1
Emepronium	0	1	1
Emergencies	1	0	0
Emergency Medical Service Communication Systems	0	1	1
Emergency Medical Services	0	1	1
Emergency Medical Tags	1	1	1
Emergency Medical Technicians	0	0	0
Emergency Medicine	1	1	1
Emergency Service, Hospital	0	1	1
Emergency Services, Psychiatric	1	1	1
Emergency Treatment	1	1	1
Emetics	1	1	1
Emetine	0	1	1
Emigration and Immigration	0	0	0
Emodin	0	1	1
Emollients	1	1	1
Emotions	1	0	0
Empathy	1	0	0
Emphysema	1	1	1
Employee Discipline	0	1	1
Employee Grievances	0	1	1
Employee Incentive Plans	0	1	1
Employee Performance Appraisal	0	1	1
Employment	0	1	1
Empty Sella Syndrome	1	1	1
Empyema	1	1	1
Empyema, Tuberculous	1	1	1
Emulsions	1	1	1
Enalapril	1	1	1
Enamel Organ	1	1	1
Enbucrilate	1	0	0
Encephalitis	1	1	1
Encephalitis Virus, Eastern Equine	0	1	1
Encephalitis Virus, Japanese	0	1	1
Encephalitis Virus, St. Louis	0	1	1
Encephalitis Virus, Venezuelan Equine	0	1	1
Encephalitis Virus, Western Equine	0	1	1
Encephalitis Viruses	0	1	1
Encephalitis Viruses, Tick-Borne	0	1	1
Encephalitis, California	1	1	1
Encephalitis, Arbovirus	1	1	1
Encephalitis, Japanese	1	1	1
Encephalomyelitis, Acute Disseminated	1	1	1
Encephalitis, St. Louis	1	1	1
Encephalitis, Tick-Borne	1	1	1
Myelin Basic Proteins	1	1	1
Encephalocele	1	1	1
Encephalomalacia	1	1	1
Encephalomyelitis	1	1	1
Maus Elberfeld virus	0	1	1
Encephalomyelitis, Autoimmune, Experimental	1	1	1
Encephalomyelitis, Enzootic Porcine	1	1	1
Encephalomyelitis, Equine	1	1	1
Leukoencephalitis, Acute Hemorrhagic	1	1	1
Encephalomyelitis, Venezuelan Equine	1	1	1
Encephalomyocarditis virus	0	1	1
Enchondromatosis	1	1	1
Encopresis	1	1	1
Encyclopedias as Topic	0	0	0
Endarterectomy	1	1	1
Endarteritis	1	1	1
Glucan Endo-1,3-beta-D-Glucosidase	1	1	1
Endocardial Cushion Defects	1	1	1
Endocardial Fibroelastosis	1	1	1
Endocarditis	1	1	1
Endocarditis, Bacterial	1	1	1
Endocarditis, Subacute Bacterial	1	1	1
Endocardium	1	1	1
Endocrine System Diseases	1	1	1
Endocrine Gland Neoplasms	1	1	1
Endocrine Glands	1	1	1
Endocrine System	1	1	1
Endocrinology	1	1	1
Endocytosis	1	1	1
Endodeoxyribonucleases	1	1	1
Endoderm	1	1	1
Endodontics	1	1	1
Endolimax	0	1	1
Endolymph	1	1	1
Endolymphatic Duct	1	1	1
Endolymphatic Sac	1	1	1
Endolymphatic Shunt	1	1	1
Endometrial Hyperplasia	1	1	1
Endometriosis	1	1	1
Endometritis	1	1	1
Endometrium	1	1	1
Saccharomycetales	0	1	1
Endomyocardial Fibrosis	1	1	1
Endonucleases	1	1	1
Endoplasmic Reticulum	1	1	1
Endoribonucleases	1	1	1
Endorphins	1	1	1
Endoscopy	1	1	1
Endospore-Forming Bacteria	0	1	1
Endosulfan	0	1	1
Endothelium	1	1	1
Endothelium, Corneal	1	1	1
Endothelium, Lymphatic	1	1	1
Endothelium, Vascular	1	1	1
Endotoxins	0	1	1
Endrin	0	1	1
Enema	1	1	1
Energy Metabolism	0	1	1
Energy Transfer	0	1	1
Energy-Generating Resources	0	1	1
Enflurane	0	1	1
England	0	0	0
English Abstract	0	0	0
Engraving and Engravings	0	0	0
Enhancer Elements, Genetic	1	1	1
Enkephalin, Leucine	1	1	1
Enkephalin, Methionine	1	1	1
Enkephalins	1	1	1
Enoyl-CoA Hydratase	1	1	1
Entamoeba	0	1	1
Entamoeba histolytica	0	1	1
Entamoebiasis	1	1	1
Enteral Nutrition	1	1	1
Enteritis	1	1	1
Coronavirus, Turkey	0	1	1
Enteritis, Transmissible, of Turkeys	1	1	1
Enterobacter	0	1	1
Enterobacteriaceae	0	1	1
Enterobacteriaceae Infections	1	1	1
Enterobius	0	1	1
Enterobactin	1	1	1
Enterochromaffin Cells	1	1	1
Enterocolitis	1	1	1
Enterocolitis, Pseudomembranous	1	1	1
Glucagon-Like Peptides	1	1	1
Enterohepatic Circulation	0	1	1
Enteropeptidase	1	1	1
Enterostomy	1	1	1
Enterotoxemia	1	1	1
Enterotoxins	0	1	1
Enterovirus Infections	1	1	1
Enterovirus	0	1	1
Enteroviruses, Porcine	0	1	1
Entomology	0	1	1
Entomophthora	0	1	1
Entropion	1	1	1
Enuresis	1	1	1
Enviomycin	1	1	1
Environment	1	1	1
Environment and Public Health	0	1	1
Environment Design	0	0	0
Environment, Controlled	0	1	1
Environmental Exposure	0	1	1
Environmental Health	0	1	1
Environmental Microbiology	0	1	1
Environmental Monitoring	0	1	1
Environmental Pollutants	1	1	1
Toxic Actions	1	1	1
Environmental Pollution	0	1	1
Enzyme Activation	0	1	1
Enzyme Induction	1	1	1
Enzyme Inhibitors	1	1	1
Enzyme Precursors	1	1	1
Enzyme Reactivators	1	1	1
Enzyme Repression	1	1	1
Enzyme Stability	1	1	1
Clinical Enzyme Tests	1	1	1
Enzyme-Linked Immunosorbent Assay	1	1	1
Enzymes	1	0	0
Enzymes, Immobilized	1	1	1
Eosine Yellowish-(YS)	0	1	1
Eosinophilia	1	1	1
Eosinophilic Granuloma	1	1	1
Eosinophils	1	1	1
Ependyma	1	1	1
Ependymoma	1	1	1
Ephedrine	0	1	1
Ephemeral Fever	1	1	1
Epichlorohydrin	0	1	1
Epidemiologic Methods	1	1	1
Epidemiology	1	0	0
Epidermal Cyst	1	1	1
Epidermal Growth Factor	1	1	1
Epidermal Necrolysis, Toxic	1	1	1
Epidermis	1	1	1
Epidermitis, Exudative, of Swine	0	1	1
Epidermodysplasia Verruciformis	1	1	1
Epidermolysis Bullosa	1	1	1
Epidermophyton	0	1	1
Epididymis	1	1	1
Epididymitis	1	1	1
Epidural Space	1	1	1
Epiglottis	1	1	1
Epiglottitis	1	1	1
Epilepsy	1	1	1
Epilepsies, Partial	1	1	1
Epilepsy, Generalized	1	1	1
Epilepsy, Tonic-Clonic	1	1	1
Epilepsies, Myoclonic	1	1	1
Epilepsy, Absence	1	1	1
Epilepsy, Temporal Lobe	1	1	1
Epilepsy, Post-Traumatic	1	1	1
Epimestrol	0	1	1
Epinephrine	0	1	1
Epiphyses	1	1	1
Epiphyses, Slipped	1	1	1
Epirizole	0	1	1
Episiotomy	1	1	1
Epispadias	1	1	1
Epistasis, Genetic	1	1	1
Epistaxis	1	1	1
Epitestosterone	1	1	1
Epithelial Attachment	1	1	1
Epithelial Cells	1	1	1
Epithelium	1	1	1
Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester	0	1	1
Eponyms	0	0	0
Epoxide Hydrolases	1	1	1
Epoxy Compounds	0	1	1
Epoxy Resins	1	0	0
Herpesvirus 4, Human	0	1	1
Equilenin	1	1	1
Postural Balance	1	1	1
Equilin	1	1	1
Herpesvirus 3, Equid	0	1	1
Equine Infectious Anemia	1	1	1
Infectious Anemia Virus, Equine	0	1	1
Herpesvirus 1, Equid	0	1	1
Equinus Deformity	1	1	1
Equipment and Supplies	1	0	0
Equipment and Supplies, Hospital	1	1	1
Equipment Contamination	0	1	1
Equipment Design	1	1	1
Equipment Failure	1	1	1
Equipment Safety	1	1	1
Erabutoxins	0	1	1
Erbium	0	1	1
Ergocalciferols	1	1	1
Ergolines	0	1	1
Ergonovine	0	1	1
Ergosterol	0	1	1
Ergot Alkaloids	0	1	1
Ergoloid Mesylates	0	1	1
Ergotamine	0	1	1
Ergotamines	0	1	1
Ergothioneine	1	1	1
Ergotism	1	1	1
Erotica	0	0	0
Erucic Acids	1	1	1
Eructation	1	1	1
Erwinia	0	1	1
Erysipelas	1	1	1
Erysipeloid	1	1	1
Erysipelothrix	0	1	1
Erysipelothrix Infections	1	1	1
Erythema	1	1	1
Erythema Induratum	1	1	1
Erythema Multiforme	1	1	1
Erythema Nodosum	1	1	1
Erythrasma	1	1	1
Erythrina	0	1	1
Erythritol	1	1	1
Erythrityl Tetranitrate	1	1	1
Erythroblastosis, Fetal	1	1	1
Erythroblasts	1	1	1
Erythrocebus patas	0	1	1
Erythrocruorins	1	1	1
Erythrocyte Aggregation	1	1	1
Erythrocyte Aging	1	1	1
Erythrocyte Count	1	1	1
Erythrocyte Deformability	1	1	1
Erythrocyte Inclusions	1	1	1
Erythrocyte Indices	1	1	1
Erythrocyte Membrane	1	1	1
Erythrocyte Volume	1	1	1
Erythrocytes	1	1	1
Erythrocytes, Abnormal	1	1	1
Erythroblastic, Acute Leukaemia	1	1	1
Erythromelalgia	1	1	1
Erythromycin	1	1	1
Erythromycin Estolate	1	1	1
Erythroplasia	1	1	1
Erythropoiesis	1	1	1
Erythropoietin	1	1	1
Erythrosine	0	1	1
Escape Reaction	1	1	1
Escherichia	0	1	1
Escherichia coli	0	1	1
Escherichia coli Infections	1	1	1
Escin	1	1	1
Esculin	1	1	1
Inuits	0	0	0
Esophageal Achalasia	1	1	1
Esophageal and Gastric Varices	1	1	1
Esophageal Atresia	1	1	1
Esophageal Cyst	1	1	1
Esophageal Diseases	1	1	1
Diverticulum, Esophageal	1	1	1
Esophageal Fistula	1	1	1
Esophageal Neoplasms	1	1	1
Esophageal Perforation	1	1	1
Esophageal Stenosis	1	1	1
Esophagitis	1	1	1
Esophagitis, Peptic	1	1	1
Esophagogastric Junction	1	1	1
Esophagoplasty	1	1	1
Esophagoscopy	1	1	1
Esophagostomy	1	1	1
Esophagus	1	1	1
Esotropia	1	1	1
Estazolam	0	1	1
Esterases	1	1	1
Esterification	0	1	1
Esters	0	1	1
Estetrol	1	1	1
Esthetics	1	0	0
Esthetics, Dental	1	1	1
Estivation	1	1	1
Estonia	0	0	0
Estradiol	1	1	1
Estradiol Antagonists	1	1	1
Estradiol Dehydrogenases	1	1	1
Estramustine	0	1	1
Estranes	0	1	1
Estrenes	0	1	1
Estriol	1	1	1
Estrogen Antagonists	1	1	1
Estrogens, Conjugated (USP)	1	1	1
Estrogens	1	1	1
Estrogens, Non-Steroidal	1	1	1
Estrone	1	1	1
Estrus	1	1	1
Estrus Detection	1	1	1
Estrus Synchronization	1	1	1
Etazolate	0	1	1
Ethacridine	0	1	1
Ethacrynic Acid	0	1	1
Ethambutol	0	1	1
Ethamoxytriphetol	0	1	1
Ethamsylate	0	1	1
Ethane	0	1	1
Ethanolamine Ammonia-Lyase	1	1	1
Ethanolaminephosphotransferase	1	1	1
Ethanolamines	0	1	1
Ethchlorvynol	0	1	1
Ethenoadenosine Triphosphate	1	1	1
Ether, Ethyl	0	1	1
Ethers	0	1	1
Ethers, Cyclic	0	1	1
Ethics	1	0	0
Ethics, Dental	1	0	0
Ethics, Institutional	1	0	0
Ethics, Medical	1	0	0
Ethics, Nursing	1	0	0
Ethics, Pharmacy	1	0	0
Ethics, Professional	1	0	0
Ethidium	0	1	1
Ethinyl Estradiol	1	1	1
Ethiodized Oil	1	1	1
Amifostine	0	1	1
Ethionamide	0	1	1
Ethionine	1	1	1
Ethiopia	0	0	0
Ethisterone	0	1	1
Ethmoid Bone	1	1	1
Ethmoid Sinus	1	1	1
Ethnic Groups	0	0	0
Ethnology	0	0	0
Ethnopsychology	1	1	1
Ethoglucid	0	1	1
Ethology	1	1	1
Ethopabate	0	1	1
Ethosuximide	0	1	1
Ethoxyquin	0	1	1
Ethoxzolamide	0	1	1
Ethyl Biscoumacetate	0	1	1
Ethyl Chloride	0	1	1
Ethyl Ethers	0	1	1
Ethyl Methanesulfonate	0	1	1
Ethylamines	0	1	1
Ethyldimethylaminopropyl Carbodiimide	0	1	1
Ethylene Chlorohydrin	0	1	1
Ethylene Dichlorides	0	1	1
Ethylene Glycols	0	1	1
Ethylene Oxide	0	1	1
Ethylenebis(dithiocarbamates)	0	1	1
Ethylenediamines	0	1	1
Ethylenes	0	1	1
Ethylenethiourea	0	1	1
Ethylestrenol	0	1	1
Ethylmaleimide	0	1	1
Ethylmercuric Chloride	0	1	1
Ethylmercury Compounds	0	1	1
Ethylmorphine	0	1	1
Ethylmorphine-N-Demethylase	1	1	1
Ethylnitrosourea	0	1	1
Etilefrine	0	1	1
Ethynodiol Diacetate	0	1	1
Etidocaine	0	1	1
Etimizol	0	1	1
Etiocholanolone	1	1	1
Etioporphyrins	0	1	1
Etomidate	0	1	1
Etoposide	1	1	1
Etorphine	0	1	1
Etretinate	0	1	1
Eubacterium	0	1	1
Eucalyptus	0	1	1
Eugenics	0	0	0
Eugenol	0	1	1
Euglena	0	1	1
Euglena gracilis	0	1	1
Eukaryotic Cells	1	1	1
Eunuchism	1	1	1
Euphoria	1	1	1
Europe	0	0	0
Europe, Eastern	0	0	0
European Union	0	0	0
Europium	0	1	1
Eustachian Tube	1	1	1
Euthanasia	1	0	0
Euthanasia, Passive	1	1	1
Euthyroid Sick Syndromes	1	1	1
Eutrophication	1	1	1
Evaluation Studies as Topic	1	0	0
Evans Blue	0	1	1
Evoked Potentials	1	1	1
Evoked Potentials, Auditory	1	1	1
Evoked Potentials, Somatosensory	1	1	1
Evoked Potentials, Visual	1	1	1
Evolution	1	0	0
Exanthema	1	0	0
Exanthema Subitum	1	1	1
Exchange Transfusion, Whole Blood	1	1	1
Excipients	1	1	1
Exercise Test	1	1	1
Exercise Therapy	1	1	1
Physical Exertion	1	1	1
Exfoliatins	1	1	1
Exhibitionism	1	1	1
Exhibits as Topic	0	0	0
Existentialism	1	0	0
Glucan 1,4-alpha-Glucosidase	1	1	1
Exocrine Glands	1	1	1
Exocytosis	1	1	1
Exodeoxyribonucleases	1	1	1
Exons	1	1	1
Exonucleases	1	1	1
Exophiala	0	1	1
Exophthalmos	1	1	1
Exoribonucleases	1	1	1
Exostoses	1	1	1
Exostoses, Multiple Hereditary	1	1	1
Exotoxins	0	1	1
Exotropia	1	1	1
Expectorants	1	1	1
Expeditions	0	0	0
Health Expenditures	0	1	1
Expert Systems	0	0	0
Expert Testimony	0	0	0
Expiratory Reserve Volume	1	1	1
Exploratory Behavior	1	1	1
Explosions	0	1	1
Extinction, Psychological	1	1	1
Extracellular Matrix	1	1	1
Extracellular Space	1	1	1
Extrachromosomal Inheritance	1	1	1
Extracorporeal Circulation	1	1	1
Extraction, Obstetrical	1	1	1
Extramarital Relations	1	1	1
Extraoral Traction Appliances	1	1	1
Extrapyramidal Tracts	1	1	1
Cardiac Complexes, Premature	1	1	1
Extraterrestrial Environment	1	1	1
Extravasation of Diagnostic and Therapeutic Materials	1	1	1
Extraversion (Psychology)	1	1	1
Extremities	1	0	0
Exudates and Transudates	1	1	1
Eye	1	0	0
Eye Abnormalities	1	1	1
Eye Banks	0	1	1
Eye Burns	1	1	1
Eye Color	1	1	1
Eye Diseases	1	1	1
Eye Foreign Bodies	1	1	1
Eye Hemorrhage	1	1	1
Eye Injuries	1	1	1
Eye Manifestations	1	1	1
Eye Movements	1	1	1
Eye Neoplasms	1	1	1
Eye Protective Devices	1	0	0
Eye Proteins	1	1	1
Eye, Artificial	1	1	1
Eyebrows	1	1	1
Eyeglasses	1	1	1
Eyelashes	1	1	1
Eyelid Diseases	1	1	1
Eyelid Neoplasms	1	1	1
Eyelids	1	0	0
F Factor	1	1	1
Face	1	0	0
Facial Asymmetry	1	1	1
Facial Bones	1	1	1
Facial Dermatoses	1	1	1
Facial Expression	1	1	1
Facial Hemiatrophy	1	1	1
Facial Injuries	1	1	1
Facial Muscles	1	1	1
Facial Neoplasms	1	1	1
Facial Nerve	1	1	1
Facial Nerve Diseases	1	1	1
Facial Neuralgia	1	1	1
Facial Pain	1	1	1
Facial Paralysis	1	1	1
Health Care Facilities, Manpower, and Services	0	1	1
Facility Design and Construction	0	0	0
Facility Regulation and Control	0	1	1
Factitious Disorders	1	1	1
Factor Analysis, Statistical	1	1	1
Factor IX	1	1	1
Factor V	1	1	1
Factor V Deficiency	1	1	1
Factor VII	1	1	1
Factor VII Deficiency	1	1	1
Factor VIII	1	1	1
Factor X	1	1	1
Factor X Deficiency	1	1	1
Factor XI	1	1	1
Factor XI Deficiency	1	1	1
Factor XII	1	1	1
Factor XII Deficiency	1	1	1
Factor XIII	1	1	1
Factor XIII Deficiency	1	1	1
Faculty	0	0	0
Faculty, Dental	0	0	0
Faculty, Medical	0	0	0
Faculty, Nursing	0	0	0
Flavin-Adenine Dinucleotide	1	1	1
Failure to Thrive	1	1	1
Fallopian Tube Diseases	1	1	1
Fallopian Tube Neoplasms	1	1	1
Fallopian Tube Patency Tests	1	1	1
Fallopian Tubes	1	1	1
False Negative Reactions	1	1	1
False Positive Reactions	1	1	1
Family	1	0	0
Family Characteristics	1	0	0
Family Health	0	1	1
Family Planning Services	0	1	1
Family Practice	1	0	0
Family Relations	1	1	1
Family Therapy	1	1	1
Famous Persons	0	0	0
Fanconi Syndrome	1	1	1
Fanconi Anemia	1	1	1
FANFT	0	1	1
Fantasy	1	1	1
Far East	0	0	0
Farmer's Lung	1	1	1
Farnesol	1	1	1
Fascia	1	1	1
Fascia Lata	1	1	1
Fasciculation	1	1	1
Fasciitis	1	1	1
Fasciola	0	1	1
Fasciola hepatica	0	1	1
Fascioliasis	1	1	1
Fasciolidae	0	1	1
Fascioloidiasis	1	1	1
Fast Neutrons	0	1	1
Fasting	1	1	1
Fat Body	0	1	1
Fat Emulsions, Intravenous	1	1	1
Fat Necrosis	1	1	1
Father-Child Relations	1	1	1
Fathers	1	0	0
Fatigue	1	0	0
Mental Fatigue	1	1	1
Fats	1	0	0
Fats, Unsaturated	1	1	1
Fatty Acid Synthetase Complex	1	1	1
Fatty Acids	1	1	1
Fatty Acids, Essential	1	1	1
Fatty Acids, Monounsaturated	1	1	1
Fatty Acids, Nonesterified	1	1	1
Fatty Acids, Unsaturated	1	1	1
Fatty Acids, Volatile	1	1	1
Fatty Alcohols	1	1	1
Fatty Liver	1	1	1
Fatty Liver, Alcoholic	1	1	1
Favism	1	1	1
Fear	1	1	1
Feasibility Studies	1	1	1
Feathers	0	1	1
Fecal Incontinence	1	1	1
Feces	1	1	1
Fecal Impaction	1	1	1
Fee Schedules	0	1	1
Feedback	0	0	0
Feeding Behavior	1	1	1
Feeding Methods	1	1	1
Fees and Charges	0	1	1
Fees, Dental	0	1	1
Fees, Medical	0	1	1
Fees, Pharmaceutical	0	1	1
Sarcoma Viruses, Feline	0	1	1
Feline Panleukopenia	1	1	1
Leukemia Virus, Feline	0	1	1
Fellowships and Scholarships	0	1	1
Felty's Syndrome	1	1	1
Felypressin	1	1	1
Female	0	0	0
Female Urogenital Diseases and Pregnancy Complications	1	1	1
Feminization	1	1	1
Femoral Artery	1	1	1
Femoral Fractures	1	1	1
Femoral Neck Fractures	1	1	1
Femoral Neoplasms	1	1	1
Femoral Nerve	1	1	1
Femoral Vein	1	1	1
Femur	1	1	1
Femur Head	1	1	1
Femur Head Necrosis	1	1	1
Femur Neck	1	1	1
Fenbendazole	0	1	1
Fendiline	0	1	1
Fenestration, Labyrinth	1	1	1
Fenfluramine	0	1	1
Fenitrothion	0	1	1
Fenoprofen	0	1	1
Fenoterol	0	1	1
Fentanyl	0	1	1
Fenthion	0	1	1
Fermentation	0	1	1
Fermium	0	1	1
Ferredoxin-NADP Reductase	1	1	1
Ferredoxins	1	1	1
Ferrets	0	1	1
Ferric Compounds	0	1	1
Ferrichrome	1	1	1
Ferricyanides	0	1	1
Ferritins	1	1	1
Ferrochelatase	1	1	1
Ferrocyanides	0	1	1
Ferrous Compounds	0	1	1
Ferrozine	0	1	1
Fertility	1	1	1
Fertility Agents	1	1	1
Fertility Agents, Female	1	1	1
Fertility Agents, Male	1	1	1
Fertilization	1	1	1
Fertilization in Vitro	1	1	1
Fertilizers	1	1	1
Ferula	0	1	1
Fetal Alcohol Syndrome	1	1	1
Fetal Hypoxia	1	1	1
Fetal Blood	1	1	1
Fetal Death	1	1	1
Embryonic and Fetal Development	1	1	1
Fetal Diseases	1	1	1
Fetal Distress	1	1	1
Fetal Growth Retardation	1	1	1
Fetal Heart	1	1	1
Fetal Hemoglobin	1	1	1
Fetal Macrosomia	1	1	1
Extraembryonic Membranes	1	1	1
Premature Rupture Fetal Membranes	1	1	1
Fetal Monitoring	1	1	1
Fetal Movement	1	1	1
Fetal Organ Maturity	1	1	1
Fetal Proteins	1	1	1
Fetal Resorption	1	1	1
Fetal Viability	1	1	1
Fetishism (Psychiatric)	1	1	1
Fetofetal Transfusion	1	1	1
Fetomaternal Transfusion	1	1	1
Fetoscopy	1	1	1
Fetus	1	1	1
Fever	1	1	0
Fever of Unknown Origin	1	1	1
Fiber Optic Technology	0	1	1
Fibrin	1	1	1
Fibrin Fibrinogen Degradation Products	1	1	1
Fibrin Foam	1	1	1
Fibrinogen	1	1	1
Fibrinolysin	1	1	1
Fibrinolysis	1	1	1
Fibrinolytic Agents	1	1	1
Fibrinopeptide A	1	1	1
Fibrinopeptide B	1	1	1
Fibroblast Growth Factors	1	1	1
Fibroblasts	1	1	1
Fibrocystic Breast Disease	1	1	1
Fibroins	1	1	1
Fibroma	1	1	1
Fibromatosis, Gingival	1	1	1
Fibromuscular Dysplasia	1	1	1
Fibronectins	1	1	1
Fibrosarcoma	1	1	1
Fibrosis	1	1	1
Fibromyalgia	1	1	1
Fibrous Dysplasia of Bone	1	1	1
Fibrous Dysplasia, Monostotic	1	1	1
Fibrous Dysplasia, Polyostotic	1	1	1
Fibula	1	1	1
Ficain	1	1	1
Ficoll	1	1	1
Ficusin	0	1	1
Field Dependence-Independence	1	1	1
FIGLU Test	1	1	1
Figural Aftereffect	1	1	1
Fiji	0	0	0
Filariasis	1	1	1
Filaricides	1	1	1
Filarioidea	0	1	1
Filing	0	0	0
Filipin	0	1	1
Film Dosimetry	1	1	1
Filtration	1	1	1
Financial Audit	0	1	1
Financial Management	0	1	1
Financial Management, Hospital	0	1	1
Financial Support	0	1	1
Financing, Construction	0	1	1
Financing, Government	0	1	1
Financing, Organized	0	1	1
Financing, Personal	0	1	1
Finger Injuries	1	1	1
Finger Joint	1	1	1
Fingers	1	1	1
Fingersucking	1	1	1
Finland	0	0	0
Fire Extinguishing Systems	0	1	1
Firearms	0	0	0
Fires	0	1	1
Firesetting Behavior	1	1	1
First Aid	1	1	1
Fish Diseases	0	1	1
Fish Flour	0	1	1
Fish Oils	1	1	1
Fish Products	0	1	1
Fish Venoms	0	1	1
Fisheries	0	0	0
Fishes	0	0	0
Fishes, Poisonous	0	1	1
Fissure in Ano	1	1	1
Fistula	1	1	1
Fixation, Ocular	1	1	1
Fixatives	1	1	1
D-Ala(2),MePhe(4),Met(0)-ol-enkephalin	1	1	1
Bis(4-Methyl-1-Homopiperazinylthiocarbonyl)disulfide	0	1	1
Flagella	1	1	1
Flagellin	1	1	1
Flail Chest	1	1	1
Flame Ionization	1	1	1
Flame Retardants	1	1	1
Flatfishes	0	1	1
Flatfoot	1	1	1
Flatulence	1	1	1
Flavins	1	1	1
Flavivirus	0	1	1
Flavobacterium	0	1	1
Flavodoxin	1	1	1
Flavonoids	0	1	1
Flavoproteins	1	1	1
Flavoring Agents	1	1	1
Flavoxate	0	1	1
Fleas	0	1	1
Flecainide	0	1	1
Flicker Fusion	1	1	1
Flight, Animal	1	1	1
Flocculation	1	1	1
Flocculation Tests	1	1	1
Floors and Floorcoverings	0	0	0
Florida	0	0	0
Flounder	0	1	1
Flow Cytometry	1	1	1
Floxacillin	0	1	1
Flucytosine	0	1	1
Fludrocortisone	0	1	1
Flufenamic Acid	0	1	1
Fluid Therapy	1	1	1
Fluids and Secretions	1	1	1
Flumazenil	0	1	1
Flumethasone	0	1	1
Flunarizine	0	1	1
Flunitrazepam	0	1	1
Fluocinolone Acetonide	0	1	1
Fluocinonide	0	1	1
Fluocortolone	0	1	1
Fluorenes	0	1	1
Fluorescamine	0	1	1
Fluorescein Angiography	1	1	1
Fluoresceins	0	1	1
Fluorescence	0	1	1
Fluorescence Polarization	1	1	1
Fluorescent Antibody Technique	1	1	1
Fluorescent Dyes	1	1	1
Fluoridation	1	1	1
Fluoride Poisoning	1	1	1
Fluorides	0	1	1
Fluorides, Topical	1	0	0
Fluorine	0	1	1
Fluorine Radioisotopes	0	1	1
Fluoroacetates	0	1	1
Fluorobenzenes	0	1	1
Fluorocarbon Polymers	1	0	0
Fluorocarbons	0	1	1
Floxuridine	1	1	1
Fluorodeoxyuridylate	1	1	1
Fluorometholone	0	1	1
Fluorometry	1	1	1
Fluoroscopy	1	1	1
Fluorouracil	0	1	1
Fluoxetine	0	1	1
Fluoxymesterone	0	1	1
Flupenthixol	0	1	1
Fluphenazine	0	1	1
Fluprednisolone	0	1	1
Flurandrenolone	0	1	1
Flurazepam	0	1	1
Flurbiprofen	0	1	1
Flurothyl	0	1	1
Flushing	1	1	1
Fluspirilene	0	1	1
Flutamide	0	1	1
Flavin Mononucleotide	1	1	1
Foam Cells	1	1	1
Focal Dermal Hypoplasia	1	1	1
Focal Infection	1	1	1
Focal Infection, Dental	1	1	1
Folic Acid	0	1	1
Folic Acid Antagonists	1	1	1
Folic Acid Deficiency	1	1	1
Folklore	0	0	0
Follicular Atresia	1	1	1
Follicular Cyst	1	1	1
Follicular Phase	1	1	1
Folliculitis	1	1	1
Follow-Up Studies	1	1	1
Food	0	0	0
Food Additives	1	1	1
Food Analysis	1	0	0
Food Coloring Agents	1	1	1
Food Contamination	0	1	1
Food Contamination, Radioactive	0	1	1
Food Deprivation	1	1	1
Food Dispensers, Automatic	0	0	0
Food Habits	1	1	1
Food Handling	0	0	0
Food Hypersensitivity	1	1	1
Food Inspection	0	0	0
Food Irradiation	0	0	0
Food Labeling	0	0	0
Food Microbiology	0	0	0
Foodborne Diseases	1	1	1
Food Preferences	1	1	1
Food Preservatives	1	1	1
